contentid,contenttypeid,serialnum,infoname,infotext,fldgubun
125683,12,0,화장실,있음,3
125684,12,0,화장실,있음,3
125684,12,1,이용가능시설,샤워장 / 탈의장 / 야영장 등,3
125686,12,0,화장실,있음,3
125686,12,1,이용가능시설,"샤워장, 탈의장, 음수대, 야영장 등",3
125692,12,0,화장실,있음,3
125692,12,1,이용가능시설,샤워장(임시) / 탈의장 / 음수대 등,3
125706,12,0,촬영장소,"드라마 '가을동화', 영화 '파이란' 촬영지",2
125706,12,1,화장실,있음,3
125706,12,2,이용가능시설,이승만 대통령 화진포기념관 & 별장/이기붕 별장/김일성 별장이 역사안보전시관으로 운영되고 있다.,3
125706,12,3,입 장 료,"[화진포] 무료<br> [화진포 역사안보전시관 및 생태박물관]<br> - 성인 3,000원<br> - 어린이 / 청소년 2,300원<br> ※ 무료 : 경로",3
125714,12,0,등산로,,1
125714,12,1,관광코스안내,,2
125714,12,2,이용가능시설,샤워장 / 탈의실,3
125714,12,3,입 장 료,무료,3
125714,12,4,외국어 안내서비스,,4
125715,12,0,입 장 료,무료,3
125715,12,1,화장실,있음,3
125739,12,0,시설이용료,"[노지캠핑]<br> - 소형(1~2인용 텐트) 10,000원 <br> - 중형(3~4인용 텐트) 20,000원 <br> [데크캠핑]<br> - 텐트 1일 50,000원",3
125739,12,1,이용가능시설,노지캠핑 / 캠핑장 / 게스트하우스 / 식당·매점 / 샤워장 / 개수대 / 쓰레기 분리수거장,3
125739,12,2,화장실,있음,3
125752,12,0,입 장 료,무료,3
125752,12,1,화장실,있음,3
125796,12,0,이용가능시설,청간정자료전시 / 청간정 산책로,3
125796,12,1,입 장 료,무료,3
125796,12,2,화장실,있음,3
125804,12,0,시설이용료,"30,000원~250,000원<br> ※ 이용시설별·기간별 이용금액 상이하므로 홈페이지 참조",3
125804,12,1,화장실,있음,3
126691,12,0,화장실,있음,3
126691,12,1,이용가능시설,샤워장 / 레저체험시설 등,3
126727,12,0,화장실,있음,3
126727,12,1,한국어 안내서비스,없음,4
126776,12,0,화장실,있음,3
126777,12,0,이용가능시설,"야영장, 탈의장, 샤워장, 음수대",3
126777,12,1,화장실,있음,3
126777,12,2,한국어 안내서비스,가능,4
126777,12,3,외국어 안내서비스,불가,4
126778,12,0,이용가능시설,"샤워장, 탈의장 등",3
126778,12,1,화장실,있음,3
126784,12,0,화장실,있음,3
126784,12,1,이용가능시설,"샤워장, 탈의장, 공용화장실 등",3
126785,12,0,화장실,있음,3
126785,12,1,이용가능시설,"샤워장, 탈의장 등",3
126787,12,0,등산로,,1
126787,12,1,관광코스안내,,2
126787,12,2,화장실,있음,3
126787,12,3,이용가능시설,야영장 / 샤워장 / 탈의장 등,3
126787,12,4,한국어 안내서비스,,4
126788,12,0,화장실,있음,3
126789,12,0,화장실,있음,3
126789,12,1,이용가능시설,샤워장 / 탈의장 등,3
126791,12,0,입 장 료,무료,3
126792,12,0,화장실,있음,3
126792,12,1,입 장 료,무료,3
126795,12,0,등산로,,1
126795,12,1,관광코스안내,,2
126795,12,2,입 장 료,무료,3
126795,12,3,한국어 안내서비스,,4
127228,12,0,화장실,있음,3
127228,12,1,내국인 예약안내,템플스테이 홈페이지 예약,4
127449,12,0,화장실,있음,3
127570,12,0,입 장 료,무료,3
127587,12,0,이용가능시설,탈의장 / 샤워장 / 음수대,3
127873,12,0,이용가능시설,"공동취사장, 급수대, 샤워장, 백도오토캠핑장",3
127873,12,1,화장실,있음,3
127874,12,0,촬영장소,드라마 가을동화 촬영지,2
127874,12,1,화장실,있음,3
127874,12,2,이용가능시설,야영장 / 샤워장 / 탈의장 / 음수대 등,3
127874,12,3,한국어 안내서비스,가능,4
128118,12,0,입 장 료,"[미들시즌(2024.08.26~2024.10.06)]<br> - 어른, 청소년 52,000원<br> - 어린이 47,000원<br> -영/유아(36개월 미만) 무료<br> <br> [골드시즌(2024.06.22~2024.08.25)]<br> - 어른, 청소년 62,000원<br> - 어린이 52,000원<br> -영/유아(36개월 미만) 무료<br> ※ 36개월 미만 영/유아 의료보험증 등 나이 확인이 필요한 증빙서류 필수",3
128118,12,1,이용가능시설,#NAME?,3
128171,12,0,입 장 료,"[개인]<br> - 어른 3,000원<br> - 경로 (65세이상) 1,500원<br> - 초등학생~고등학생 1,500원<br> [단체]<br> - 어른 2,000원<br> - 경로 (65세이상) 1,000원<br> - 초등학생~고등학생 1,200원",3
128171,12,1,화장실,있음,3
128412,12,0,등산로,,1
128412,12,1,관광코스안내,,2
128412,12,2,화장실,있음,3
128412,12,3,내국인 예약안내,체험프로그램 이용 또는 단체 이용시 사전 예약(010-3255-9406),4
128603,12,0,등산로,,1
128603,12,1,관광코스안내,,2
128603,12,2,이용가능시설,숙박시설 / 음식점,3
128603,12,3,화장실,있음,3
128603,12,4,한국어 안내서비스,가능,4
128749,12,0,화장실,있음,3
128750,12,0,화장실,있음,3
129021,12,0,화장실,있음,3
129021,12,1,입 장 료,무료<br> ※ 체험비 별도,3
129178,12,0,화장실,있음,3
129591,12,0,화장실,있음,3
129591,12,1,입 장 료,"[개인]<br> - 어른 3,000원<br> - 청소년, 어린이 2,300원<br> [단체(30명 이상)]<br> - 어른 2,300원<br> - 청소년, 어린이 1,600원<br> ※ 이용요금은 변동될 수 있으므로 홈페이지 참고",3
2514792,12,0,이용가능시설,라벤더팜 / 기프트샵 / 카페 / 증류소 등,3
2514792,12,1,입 장 료,"[라벤더시즌]<br> - 일반 6,000원<br> - 중·고생, 경로 5,000원<br> - 초등학생 3,000원<br> - 유아(36개월 이상) 2,000원<br> [비시즌]<br> - 일반 4,000원<br> - 중·고생, 경로 3,000원<br> - 초등학생 2,000원<br> - 유아(36개월 이상) 1,000원",3
2514802,12,0,등산로,,1
2514802,12,1,관광코스안내,,2
2514802,12,2,주차요금,"- 9인승 이하 5,000원<br> - 10인승 이상 6,000원<br> - 단체버스 6,000원",3
2514802,12,3,입 장 료,"[개인]<br> - 성인 3,000원<br> - 경로(65세 이상) 1,500원<br> - 학생(초중고) 1,500원<br> <br> [단체(30인 이상)]<br> - 성인 2,000원<br> - 경로(65세 이상) 1,000원<br> - 학생(초중고) 1,200원<br> ※ 6.25전쟁체험전시관 입장료 포함",3
2514802,12,4,한국어 안내서비스,,4
2514820,12,0,촬영장소,영화 '군함도' 촬영지,2
2514820,12,1,화장실,있음,3
2514834,12,0,촬영장소,영화 '몽당분교 올림픽'촬영지,2
2514846,12,0,등산로,,1
2514846,12,1,촬영장소,"영화 '판도라','파이란' 촬영장소",2
2514846,12,2,이용가능시설,,3
2514846,12,3,한국어 안내서비스,,4
2514847,12,0,입 장 료,무료,3
2514847,12,1,화장실,없음,3
2570207,12,0,입 장 료,무료,3
2616507,12,0,입 장 료,무료,3
2616535,12,0,입 장 료,무료,3
264466,12,0,등산로,,1
264466,12,1,관광코스안내,,2
264466,12,2,화장실,있음,3
264466,12,3,이용가능시설,펜션 / 북카페 / 레스토랑 / 도자기공방 / 바비큐장 등,3
264466,12,4,내국인 예약안내,,4
2702191,12,0,입 장 료,무료,3
2704849,12,0,등산로,,1
2704849,12,1,관광코스안내,,2
2704849,12,2,입 장 료,무료,3
2704849,12,3,한국어 안내서비스,,4
2712573,12,0,등산로,,1
2712573,12,1,관광코스안내,,2
2712573,12,2,입 장 료,무료,3
2712573,12,3,한국어 안내서비스,,4
2713396,12,0,입 장 료,무료,3
2714644,12,0,등산로,,1
2714644,12,1,관광코스안내,,2
2714644,12,2,입 장 료,무료,3
2714644,12,3,주차요금,무료,3
2714644,12,4,한국어 안내서비스,,4
2715752,12,0,등산로,,1
2715752,12,1,관광코스안내,,2
2715752,12,2,입 장 료,무료,3
2715752,12,3,한국어 안내서비스,,4
2715935,12,0,등산로,,1
2715935,12,1,관광코스안내,,2
2715935,12,2,입 장 료,무료,3
2715935,12,3,한국어 안내서비스,,4
2720146,12,0,등산로,,1
2720146,12,1,관광코스안내,,2
2720146,12,2,입 장 료,무료,3
2720146,12,3,한국어 안내서비스,,4
2724982,12,0,입 장 료,무료,3
2724982,12,1,이용가능시설,샤워실 / 탈의실 / 급수대 / 매점 / 야영장 등,3
2724982,12,2,시설이용료,"[샤워장] <br> - 어른 4,000원<br> - 군인 / 청소년 3,000원<br> - 어린이 2,000원<br> [야영장]<br> -대 30,000원<br> -중 20,000원",3
2727740,12,0,등산로,,1
2727740,12,1,관광코스안내,,2
2727740,12,2,입 장 료,,3
2727740,12,3,한국어 안내서비스,,4
2735355,12,0,입 장 료,무료,3
2735384,12,0,등산로,,1
2735384,12,1,관광코스안내,,2
2735384,12,2,입 장 료,무료,3
2735384,12,3,한국어 안내서비스,,4
2774697,12,0,입 장 료,무료,3
2776858,12,0,등산로,,1
2776858,12,1,관광코스안내,,2
2776858,12,2,입 장 료,,3
2776858,12,3,한국어 안내서비스,,4
2782552,12,0,등산로,,1
2782552,12,1,관광코스안내,,2
2782552,12,2,화장실,있음,3
2782552,12,3,주차요금,무료,3
2782552,12,4,입 장 료,무료,3
2782552,12,5,한국어 안내서비스,,4
2782561,12,0,등산로,,1
2782561,12,1,관광코스안내,,2
2782561,12,2,입 장 료,무료,3
2782561,12,3,한국어 안내서비스,,4
2782565,12,0,등산로,,1
2782565,12,1,관광코스안내,,2
2782565,12,2,입 장 료,무료,3
2782565,12,3,화장실,있음,3
2782565,12,4,한국어 안내서비스,,4
2782901,12,0,등산로,,1
2782901,12,1,관광코스안내,,2
2782901,12,2,입 장 료,무료,3
2782901,12,3,한국어 안내서비스,,4
2929449,12,0,입 장 료,무료,3
2929449,12,1,화장실,있음,3
298103,12,0,개방 구간,,1
298103,12,1,관광코스안내,,2
298103,12,2,화장실,있음,3
298103,12,3,외국어 안내서비스,불가,4
3022435,12,0,입 장 료,없음,3
3022435,12,1,화장실,있음,3
3022435,12,2,주차요금,없음,3
3022828,12,0,화장실,있음(남/여 구분),3
3022828,12,1,주차요금,없음,3
3342050,12,0,,,1
3342050,12,1,,,2
3342050,12,2,시설이용료,"[개인]<br> - BIG3 성인 15,000원 / 청소년, 군인 10,000원<br> - BIG5 성인 20,000원 / 청소년, 군인 15,000원<br> [단체 (15명 이상)]<br> - BIG3 성인 10,000원 / 청소년, 군인 7,000원<br> - BIG5 성인 16,000원 / 청소년, 군인 12,000원<br>",3
3342050,12,3,이용가능시설,해쉼터 / 데코르 / 모험레저 / 원더캠프,3
3342050,12,4,한국어 안내서비스,가능,4
3521198,12,0,입 장 료,무료,3
529493,12,0,등산로,,1
529493,12,1,관광코스안내,,2
529493,12,2,화장실,있음,3
529493,12,3,입 장 료,"- 어른 3,000원<br> - 어린이/청소년 2,300원<br> ※ 무료 : 고성군민, 6세 이하, 만 65세 이상, 장애인, 현역군인 등(신분증 제시 필수)",3
529493,12,4,한국어 안내서비스,가능(화진포관광안내소 - 사전신청),4
529493,12,5,외국어 안내서비스,"영어, 일어, 중국어 가능(화진포관광안내소 - 사전신청)",4
529498,12,0,입 장 료,"- 어른 3,000원<br> - 청소년·어린이 2,300원",3
529498,12,1,화장실,있음,3
529498,12,2,외국어 안내서비스,"영어, 일어, 중국어 가능(사전문의)",4
529498,12,3,한국어 안내서비스,가능,4
925616,12,0,입 장 료,무료,3
925616,12,1,화장실,있음,3
925616,12,2,이용가능시설,옥외전망대 / 전망타워 / 카페 / 비치코밍 전시&체험관 등,3
925616,12,3,주차요금,무료,3
925616,12,4,한국어 안내서비스,신청접수,4
