contentid,contenttypeid,serialnum,infoname,infotext,fldgubun
131068,28,0,이용요금,무료,3
131169,28,0,주요시설,"야영장 - 25,900㎡, 최대 동시 8,000명 수용 가능<br /> 숙박시설 - 신관, A동, B동, C동 생활관<br /> 체육시설 - 종합운동장, 테니스장<br /> 집회시설 - 강당, 실내집회장, 세미나실<br /> 수련시설 - 모험시설, 민속놀이장, 자연체험장, 모닥불집회장 등",4
131517,28,0,포인트안내,,1
131517,28,1,이용요금,"- 그린피 : 일자별 상이하므로 홈페이지 참조<br> - 일반 카트피 100,000원<br> - 리무진 카트피 200,000원<br> - 캐디피 150,000원",3
131517,28,2,할인정보,,3
131517,28,3,부대시설,클럽하우스 / 그늘집 / 식당 등,4
131781,28,0,이용요금,"[체험 강습]<br> - 1회 강습 60,000원<br> [스페셜 강습]<br> - 1대1 강습 170,000원<br> - 2대1 강습 150,000원<br> ※ 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",3
131865,28,0,포인트안내,,1
131865,28,1,이용요금,월별 상이하므로 홈페이지 참조 또는 전화 문의,3
131865,28,2,부대시설,클럽하우스 / 사격장 / 콘도 등,4
2606186,28,0,코스안내,[고성A코스] 고성통일전망대>해안전망대>통전터널>남방한계선 (왕복 도보 3.6km) [고성B코스] 고성통일전망대>삼거리>금강산전망대(차량이동 3.6km),1
2606186,28,1,이용요금,"-DMZ 평화의 길 참가비는 1인당 10,000원임<br> - 신청자는 반드시 신청자의 성명과 휴대폰번호 뒷 4자리를 입금자명으로 기입하여 송금하여야 함<br> - 당첨 후 입금 기한내 참가비 미 입금 시 또는 입금자명 오 기입 시 방문이 취소 처리됨.",3
2606186,28,2,참고사항,#NAME?,3
2606186,28,3,주요시설,"※ 휴대폰외의 카메라 휴대 불가, 지정된 장소에서만 촬영가능(이동중 촬영불가)",4
2727232,28,0,이용요금,"[성수기]<br> - 오토캠핑장 60,000원<br> - 카라반 150,000원~230,000원<br> - 야영장 50,000원<br> [비수기]<br> - 오토캠핑장 50,000원<br> - 카라반 80,000원~200,000원<br> - 야영장 50,000원<br> ※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",3
2729401,28,0,이용요금,"[성수기]<br> - A·C 캠핑장 60,000원<br> - B 캠핑장 40,000원~50,000원<br> [비수기]<br> - A·C 캠핑장 70,000원<br> - B 캠핑장 50,000원~60,000원<br> ※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",3
2729960,28,0,이용요금,"[성수기]<br> - 카라반 6인 280,000원<br> - 카라반 4인 260,000원<br> [비수기]<br> - 카라반 6인 140,000원~190,000원<br> - 카라반 4인 120,000원~170,000원 <br> ※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",3
2734062,28,0,이용요금,"- 비수기 40,000원<br> - 성수기 50,000원<br> - 극성수기 60,000원<br> ※ 자세한 사항은 홈페이지 참조 또는 전화 문의 요망",3
2734070,28,0,이용요금,"- 사이트 50,000원 <br> - 펜션 100,000원~250,000원 <br> ※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",3
2744533,28,0,이용요금,"[파쇄석 사이트]<br> - 40,000원<br> [데크 사이트]<br> - 50,000원<br> [카라반]<br> - 120,000원 <br>※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",3
2744533,28,1,부대시설,"전기,무선인터넷,장작판매,카페",4
